site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
RDOM 98AUG14 1998.6174 51039  970 5 -118.9    181  0.648607   4171654  0.734936  2417  0.417862  0.0791 0.000619 0.000733 0.002500 -0.016269  0.002617 -0.179428
RDOM 98AUG15 1998.6201 51040  970 6 -118.9    181  0.647322   4171654  0.730499  2417  0.422426  0.0791 0.000594 0.000719 0.002437 -0.009658 -0.026253 -0.161961
RDOM 98AUG16 1998.6229 51041  971 0 -118.9    181  0.645898   4171654  0.733866  2417  0.418522  0.0791 0.000619 0.000746 0.002524 -0.026045  0.003529 -0.154467
RDOM 98AUG17 1998.6256 51042  971 1 -118.9    181  0.647311   4171654  0.731418  2417  0.420329  0.0791 0.000612 0.000731 0.002499 -0.002304 -0.039732 -0.188961
RDOM 98AUG18 1998.6283 51043  971 2 -118.9    181  0.647673   4171654  0.733523  2417  0.420254  0.0791 0.000597 0.000719 0.002435 -0.002342 -0.018200 -0.161098
RDOM 98AUG19 1998.6311 51044  971 3 -118.9    181  0.648329   4171654  0.732846  2417  0.419732  0.0791 0.000611 0.000726 0.002490 -0.005198 -0.005563 -0.164140
RDOM 98AUG20 1998.6338 51045  971 4 -118.9    181  0.648896   4171654  0.734330  2417  0.423088  0.0791 0.000598 0.000720 0.002424 -0.008513 -0.003135 -0.160724
RDOM 98AUG21 1998.6366 51046  971 5 -118.9    181  0.647819   4171654  0.735663  2417  0.420457  0.0791 0.000590 0.000712 0.002405 -0.012856 -0.011068 -0.163368
RDOM 98AUG22 1998.6393 51047  971 6 -118.9    181  0.647389   4171654  0.733425  2417  0.423512  0.0791 0.000614 0.000734 0.002517 -0.010480  0.012140 -0.173901
RDOM 98AUG23 1998.6420 51048  972 0 -118.9    181  0.648318   4171654  0.732541  2417  0.426641  0.0791 0.000611 0.000734 0.002500 -0.004778 -0.026786 -0.160834
RDOM 98AUG24 1998.6448 51049  972 1 -118.9    181  0.647096   4171654  0.731835  2417  0.424758  0.0791 0.000598 0.000719 0.002434 -0.002345 -0.022683 -0.158654
RDOM 98AUG25 1998.6475 51050  972 2 -118.9    181  0.648634   4171654  0.734876  2417  0.419696  0.0791 0.000607 0.000731 0.002498  0.002137 -0.034737 -0.160706
RDOM 98AUG26 1998.6502 51051  972 3 -118.9    181  0.647089   4171654  0.735598  2417  0.429788  0.0791 0.000607 0.000734 0.002511 -0.010256  0.010305 -0.176628
RDOM 98AUG27 1998.6530 51052  972 4 -118.9    181  0.647327   4171654  0.736076  2417  0.423755  0.0791 0.000595 0.000726 0.002462 -0.023323  0.013223 -0.149299
RDOM 98AUG29 1998.6585 51054  972 6 -118.9    181  0.650274   4171654  0.733861  2417  0.421350  0.0791 0.000601 0.000719 0.002458  0.007029 -0.022640 -0.167352
RDOM 98AUG30 1998.6612 51055  973 0 -118.9    181  0.648647   4171654  0.735799  2417  0.424329  0.0791 0.000599 0.000719 0.002432 -0.009173 -0.012485 -0.144771
RDOM 98AUG31 1998.6639 51056  973 1 -118.9    181  0.649572   4171654  0.736259  2417  0.422715  0.0791 0.000614 0.000734 0.002487 -0.004421 -0.022998 -0.170131
RDOM 98SEP01 1998.6667 51057  973 2 -118.9    181  0.651014   4171654  0.736923  2417  0.424660  0.0791 0.000614 0.000743 0.002517  0.028631 -0.032893 -0.184513
RDOM 98SEP02 1998.6694 51058  973 3 -118.9    181  0.650801   4171654  0.735157  2417  0.424260  0.0791 0.000599 0.000722 0.002448 -0.011875  0.004785 -0.178623
RDOM 98SEP03 1998.6721 51059  973 4 -118.9    181  0.649084   4171654  0.733276  2417  0.428362  0.0791 0.000627 0.000758 0.002534 -0.003732 -0.031079 -0.178505
RDOM 98SEP04 1998.6749 51060  973 5 -118.9    181  0.649800   4171654  0.732380  2417  0.421190  0.0791 0.000618 0.000733 0.002480 -0.009323 -0.017364 -0.155589
RDOM 98SEP05 1998.6776 51061  973 6 -118.9    181  0.648944   4171654  0.732193  2417  0.405919  0.0791 0.000602 0.000728 0.002456 -0.015085 -0.010434 -0.158135
RDOM 98SEP06 1998.6804 51062  974 0 -118.9    181  0.651383   4171654  0.734706  2417  0.415748  0.0791 0.000608 0.000737 0.002517 -0.005427 -0.009527 -0.180255
RDOM 98SEP07 1998.6831 51063  974 1 -118.9    181  0.647929   4171654  0.734543  2417  0.425843  0.0791 0.000623 0.000732 0.002519 -0.009036 -0.032440 -0.155004
RDOM 98SEP08 1998.6858 51064  974 2 -118.9    181  0.645053   4171654  0.734268  2417  0.432159  0.0791 0.000613 0.000736 0.002514  0.033306 -0.030462 -0.192000
